compound_id,compound_name,producing_organism,mibig_cluster,canonical_smiles,lipid_tail_smiles
95,Arylomycin B3,Streptomyces sp. Tu 6075,BGC0000306,CCCCCCCCCCCC(=O)N(C)C(CO)C(=O)NC(C)C(=O)NCC(=O)N(C)C1C(=O)NC(C)C(=O)NC(C(=O)O)Cc2cc(c(O)c([N+](=O)[O-])c2)-c2cc1ccc2O,CCCCCCCCCCCC(=O)O
96,Arylomycin B4,Streptomyces sp. Tu 6075,BGC0000306,CCC(C)CCCCCCCCC(=O)N(C)C(CO)C(=O)NC(C)C(=O)NCC(=O)N(C)C1C(=O)NC(C)C(=O)NC(C(=O)O)Cc2cc(c(O)c([N+](=O)[O-])c2)-c2cc1ccc2O,CCC(C)CCCCCCCCC(=O)O
97,Arylomycin B5,Streptomyces sp. Tu 6075,BGC0000306,CC(C)CCCCCCCCCC(=O)N(C)C(CO)C(=O)NC(C)C(=O)NCC(=O)N(C)C1C(=O)NC(C)C(=O)NC(C(=O)O)Cc2cc(c(O)c([N+](=O)[O-])c2)-c2cc1ccc2O,CC(C)CCCCCCCCCC(=O)O
98,Arylomycin B6,Streptomyces sp. Tu 6075,BGC0000306,CC(C)CCCCCCCCCCC(=O)N(C)C(CO)C(=O)NC(C)C(=O)NCC(=O)N(C)C1C(=O)NC(C)C(=O)NC(C(=O)O)Cc2cc(c(O)c([N+](=O)[O-])c2)-c2cc1ccc2O,CC(C)CCCCCCCCCCC(=O)O
99,Arylomycin B7,Streptomyces sp. Tu 6075,BGC0000306,CC(C)CCCCCCCCCCCC(=O)N(C)C(CO)C(=O)NC(C)C(=O)NCC(=O)N(C)C1C(=O)NC(C)C(=O)NC(C(=O)O)Cc2cc(c(O)c([N+](=O)[O-])c2)-c2cc1ccc2O,CC(C)CCCCCCCCCCCC(=O)O
100,Aspartocin A,Streptomyces griseus var. spiralis|Streptomyces violaceus,,CC(C)CCCCCCCCC=CCC(=O)NC(CC(=O)O)C(=O)NC1C(=O)N2CCCCC2C(=O)NC(C(C)C(=O)O)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(C(C)N)C(=O)NC(C(C)C)C(=O)N2CCCC2C(=O)NC1C,CC(C)CCCCCCCCC=CCC(=O)O
101,Aspartocin B,Streptomyces griseus var. spiralis|Streptomyces violaceus,,CCC(C)CCCCCCCC=CCC(=O)NC(CC(=O)O)C(=O)NC1C(=O)N2CCCCC2C(=O)NC(C(C)C(=O)O)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(C(C)N)C(=O)NC(C(C)C)C(=O)N2CCCC2C(=O)NC1C,CCC(C)CCCCCCCC=CCC(=O)O
102,Aspartocin C,Streptomyces griseus var. spiralis|Streptomyces violaceus,,CC(C)CCCCCCCC=CCC(=O)NC(CC(=O)O)C(=O)NC1C(=O)N2CCCCC2C(=O)NC(C(C)C(=O)O)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(C(C)N)C(=O)NC(C(C)C)C(=O)N2CCCC2C(=O)NC1C,CC(C)CCCCCCCC=CCC(=O)O
105,Bacillomycin D1,Bacillus subtilis,BGC0001090,CCCCCCCCCCCC1CC(=O)NC(CC(=O)O)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CC(N)=O)C(=O)N2CCCC2C(=O)NC(CCC(N)=O)C(=O)NC(CO)C(=O)NC(C(C)O)C(=O)N1,CCCCCCCCCCCC(CC(=O)O)NC(=O)C(NC(=O)C(CO)NC(=O)C(CCC(N)=O)NC(=O)C1CCCN1C(=O)C(CC(N)=O)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(N)CC(=O)O)C(C)O
106,Bacillomycin D2,Bacillus subtilis,,CC(C)CCCCCCCCCC1CC(=O)NC(CC(=O)O)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CC(N)=O)C(=O)N2CCCC2C(=O)NC(CCC(N)=O)C(=O)NC(CO)C(=O)NC(C(C)O)C(=O)N1,CC(C)CCCCCCCCCC(CC(=O)O)NC(=O)C(NC(=O)C(CO)NC(=O)C(CCC(N)=O)NC(=O)C1CCCN1C(=O)C(CC(N)=O)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(N)CC(=O)O)C(C)O
107,Bacillomycin D3,Bacillus subtilis,,CCC(C)CCCCCCCCC1CC(=O)NC(CC(=O)O)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CC(N)=O)C(=O)N2CCCC2C(=O)NC(CCC(N)=O)C(=O)NC(CO)C(=O)NC(C(C)O)C(=O)N1,CCC(C)CCCCCCCCC(CC(=O)O)NC(=O)C(NC(=O)C(CO)NC(=O)C(CCC(N)=O)NC(=O)C1CCCN1C(=O)C(CC(N)=O)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(N)CC(=O)O)C(C)O
108,Bacillomycin D4,Bacillus subtilis,,CCCCCCCCCCCCCC1CC(=O)NC(CC(=O)O)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CC(N)=O)C(=O)N2CCCC2C(=O)NC(CCC(N)=O)C(=O)NC(CO)C(=O)NC(C(C)O)C(=O)N1,CCCCCCCCCCCCCC(CC(=O)O)NC(=O)C(NC(=O)C(CO)NC(=O)C(CCC(N)=O)NC(=O)C1CCCN1C(=O)C(CC(N)=O)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(N)CC(=O)O)C(C)O
109,Bacillomycin D5,Bacillus subtilis,,CC(C)CCCCCCCCCCC1CC(=O)NC(CC(=O)O)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CC(N)=O)C(=O)N2CCCC2C(=O)NC(CCC(N)=O)C(=O)NC(CO)C(=O)NC(C(C)O)C(=O)N1,CC(C)CCCCCCCCCCC(CC(=O)O)NC(=O)C(NC(=O)C(CO)NC(=O)C(CCC(N)=O)NC(=O)C1CCCN1C(=O)C(CC(N)=O)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(N)CC(=O)O)C(C)O
110,Bacillomycin Fa 1,Bacillus subtilis,BGC0001090,CC(C)CCCCCCCCCC1CC(=O)NC(CC(N)=O)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CC(N)=O)C(=O)NC(CCC(N)=O)C(=O)N2CCCC2C(=O)NC(CC(N)=O)C(=O)NC(C(C)O)C(=O)N1,CC(C)CCCCCCCCCC(CC(=O)O)NC(=O)C(NC(=O)C(CC(N)=O)NC(=O)C1CCCN1C(=O)C(CCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(N)CC(N)=O)C(C)O
111,Bacillomycin Fa 2,Bacillus subtilis,,CCC(C)CCCCCCCCC1CC(=O)NC(CC(N)=O)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CC(N)=O)C(=O)NC(CCC(N)=O)C(=O)N2CCCC2C(=O)NC(CC(N)=O)C(=O)NC(C(C)O)C(=O)N1,CCC(C)CCCCCCCCC(CC(=O)O)NC(=O)C(NC(=O)C(CC(N)=O)NC(=O)C1CCCN1C(=O)C(CCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(N)CC(N)=O)C(C)O
112,Bacillomycin Fa 3,Bacillus subtilis,,CC(C)CCCCCCCCCCC1CC(=O)NC(CC(N)=O)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CC(N)=O)C(=O)NC(CCC(N)=O)C(=O)N2CCCC2C(=O)NC(CC(N)=O)C(=O)NC(C(C)O)C(=O)N1,CC(C)CCCCCCCCCCC(CC(=O)O)NC(=O)C(NC(=O)C(CC(N)=O)NC(=O)C1CCCN1C(=O)C(CCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(N)CC(N)=O)C(C)O
113,Bacillomycin Fa 4,Bacillus subtilis,,CCCCCCCCCCCCCC1CC(=O)NC(CC(N)=O)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CC(N)=O)C(=O)NC(CCC(N)=O)C(=O)N2CCCC2C(=O)NC(CC(N)=O)C(=O)NC(C(C)O)C(=O)N1,CCCCCCCCCCCCCC(CC(=O)O)NC(=O)C(NC(=O)C(CC(N)=O)NC(=O)C1CCCN1C(=O)C(CCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(N)CC(N)=O)C(C)O
114,Bacillomycin Fa 5,Bacillus subtilis,,CC(C)CCCCCCCCCCCC1CC(=O)NC(CC(N)=O)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CC(N)=O)C(=O)NC(CCC(N)=O)C(=O)N2CCCC2C(=O)NC(CC(N)=O)C(=O)NC(C(C)O)C(=O)N1,CC(C)CCCCCCCCCCCC(CC(=O)O)NC(=O)C(NC(=O)C(CC(N)=O)NC(=O)C1CCCN1C(=O)C(CCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(N)CC(N)=O)C(C)O
115,Bacillomycin Fa 6,Bacillus subtilis,,CCC(C)CCCCCCCCCCC1CC(=O)NC(CC(N)=O)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CC(N)=O)C(=O)NC(CCC(N)=O)C(=O)N2CCCC2C(=O)NC(CC(N)=O)C(=O)NC(C(C)O)C(=O)N1,CCC(C)CCCCCCCCCCC(CC(=O)O)NC(=O)C(NC(=O)C(CC(N)=O)NC(=O)C1CCCN1C(=O)C(CCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(N)CC(N)=O)C(C)O
118,Bacillomycin Fc-sold,Bacillus subtilis,,CCC(C)CCCCCCCCCCC1CC(=O)NC(CC(N)=O)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CC(N)=O)C(=O)NC(CCC(N)=O)C(=O)NCCCCC(=O)NC(CC(N)=O)C(=O)NC(C(C)O)C(=O)N1,CCC(C)CCCCCCCCCCC(CC(=O)O)NC(=O)C(NC(=O)C(CC(N)=O)NC(=O)CCCCNC(=O)C(CCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(N)CC(N)=O)C(C)O
119,Bacillomycin Lc0,Bacillus subtilis,,CCCCCCCCCCCC1CC(=O)NC(CC(N)=O)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CC(N)=O)C(=O)NC(CO)C(=O)NC(CCC(=O)O)C(=O)NC(CO)C(=O)NC(C(C)O)C(=O)N1,CCCCCCCCCCCC(CC(=O)O)NC(=O)C(NC(=O)C(CO)NC(=O)C(CCC(=O)O)NC(=O)C(CO)NC(=O)C(CC(N)=O)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(N)CC(N)=O)C(C)O
120,Bacillomycin Lc1,Bacillus subtilis,,CCC(C)CCCCCCCCC1CC(=O)NC(CC(N)=O)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CC(N)=O)C(=O)NC(CO)C(=O)NC(CCC(=O)O)C(=O)NC(CO)C(=O)NC(C(C)O)C(=O)N1,CCC(C)CCCCCCCCC(CC(=O)O)NC(=O)C(NC(=O)C(CO)NC(=O)C(CCC(=O)O)NC(=O)C(CO)NC(=O)C(CC(N)=O)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(N)CC(N)=O)C(C)O
121,Bacillomycin Lc2,Bacillus subtilis,,CC(C)CCCCCCCCCC1CC(=O)NC(CC(N)=O)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CC(N)=O)C(=O)NC(CO)C(=O)NC(CCC(=O)O)C(=O)NC(CO)C(=O)NC(C(C)O)C(=O)N1,CC(C)CCCCCCCCCC(CC(=O)O)NC(=O)C(NC(=O)C(CO)NC(=O)C(CCC(=O)O)NC(=O)C(CO)NC(=O)C(CC(N)=O)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(N)CC(N)=O)C(C)O
122,Bacillomycin Lc3,Bacillus subtilis,,CC(C)CCCCCCCCCCC1CC(=O)NC(CC(N)=O)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CC(N)=O)C(=O)NC(CO)C(=O)NC(CCC(=O)O)C(=O)NC(CO)C(=O)NC(C(C)O)C(=O)N1,CC(C)CCCCCCCCCCC(CC(=O)O)NC(=O)C(NC(=O)C(CO)NC(=O)C(CCC(=O)O)NC(=O)C(CO)NC(=O)C(CC(N)=O)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(N)CC(N)=O)C(C)O
123,Bacillomycin Lc4,Bacillus subtilis,,CC(C)CCCCCCCCCCC1CC(=O)NC(CC(N)=O)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CC(N)=O)C(=O)NC(CO)C(=O)NC(CCC(=O)O)C(=O)NC(CO)C(=O)NC(C(C)O)C(=O)N1,CC(C)CCCCCCCCCCC(CC(=O)O)NC(=O)C(NC(=O)C(CO)NC(=O)C(CCC(=O)O)NC(=O)C(CO)NC(=O)C(CC(N)=O)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(N)CC(N)=O)C(C)O
126,Bacillopeptin A,Bacillus subtilis FR-2,BGC0001103,CCCCCCCCCCCC1CC(=O)NC(CC(N)=O)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CC(N)=O)C(=O)NC(CO)C(=O)NC(CCC(=O)O)C(=O)NC(CO)C(=O)NC(C(C)O)C(=O)N1,CCCCCCCCCCCC(CC(=O)O)NC(=O)C(NC(=O)C(CO)NC(=O)C(CCC(=O)O)NC(=O)C(CO)NC(=O)C(CC(N)=O)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(N)CC(N)=O)C(C)O
127,Bacillopeptin B,Bacillus subtilis FR-2,,CC(C)CCCCCCCCCC1CC(=O)NC(CC(N)=O)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CC(N)=O)C(=O)NC(CO)C(=O)NC(CCC(=O)O)C(=O)NC(CO)C(=O)NC(C(C)O)C(=O)N1,CC(C)CCCCCCCCCC(CC(=O)O)NC(=O)C(NC(=O)C(CO)NC(=O)C(CCC(=O)O)NC(=O)C(CO)NC(=O)C(CC(N)=O)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(N)CC(N)=O)C(C)O
128,Bacillopeptin C,Bacillus subtilis FR-2,,CC(C)CCCCCCCCCCC1CC(=O)NC(CC(N)=O)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CC(N)=O)C(=O)NC(CO)C(=O)NC(CCC(=O)O)C(=O)NC(CO)C(=O)NC(C(C)O)C(=O)N1,CC(C)CCCCCCCCCCC(CC(=O)O)NC(=O)C(NC(=O)C(CO)NC(=O)C(CCC(=O)O)NC(=O)C(CO)NC(=O)C(CC(N)=O)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(N)CC(N)=O)C(C)O
129,Bamylocin A,Bacillus amyloliquefaciens LP03,,CCCCCCCCCCC1CC(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CCSC)C(=O)NC(CC(C)C)C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)O1,CCCCCCCCCCC(CC(=O)O)OC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C1CCCN1C(=O)C(CC(C)C)NC(=O)C(CCSC)NC(=O)C(CC(C)C)NC(=O)C(N)CCC(=O)O
130,BK 101,Bacillus subtilis,,CCC(C)C1NC(=O)C(CC(C)C)NC(=O)C(CC(=O)O)NC(=O)C(C(C)C)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCC(N)=O)NC(=O)CC(CCCCCCCCC(C)C)OC1=O,CCC(C)C(NC(=O)C(CC(C)C)NC(=O)C(CC(=O)O)NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(N)CCC(N)=O)C(C)C)C(=O)OC(CCCCCCCCC(C)C)CC(=O)O
133,CDA1b,Streptomyces coelicolor|Streptomyces roseosporus,BGC0000315,CCCC1OC1C(=O)NC(CO)C(=O)NC1C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CC(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(c2ccc(O)cc2)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(C(OP(=O)(O)O)C(N)=O)C(=O)NC(CCC(=O)O)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)OC1C,CCCC1OC1C(=O)O
134,CDA2a,Streptomyces roseosporus|Tolypocladium inflatum,BGC0000315,CCCC1OC1C(=O)NC(CO)C(=O)NC1C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CC(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(c2ccc(O)cc2)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(C(OP(=O)(O)O)C(N)=O)C(=O)NC(CC(C)C(=O)O)C(=O)NC(=Cc2c[nH]c3ccccc23)C(=O)OC1C,CCCC1OC1C(=O)O
135,CDA2b,Streptomyces roseosporus|Metarhizium anisopliae|Streptomyces coelicolor,BGC0000315,CCCC1OC1C(=O)NC(CO)C(=O)NC1C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CC(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(c2ccc(O)cc2)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(C(OP(=O)(O)O)C(N)=O)C(=O)NC(C(C)CC(=O)O)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)OC1C,CCCC1OC1C(=O)O
136,CDA2d,Streptomyces roseosporus|Sinapis alba,BGC0000315,CCCC1OC1C(=O)NC(CO)C(=O)NC1C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CC(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(c2ccccc2)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(C(OP(=O)(O)O)C(N)=O)C(=O)NC(CC(C)C(=O)O)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)OC1C,CCCC1OC1C(=O)O
137,CDA2fa,Streptomyces roseosporus|Brassica napus,BGC0000315,CCCC1OC1C(=O)NC(CO)C(=O)NC1C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CC(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(c2ccc(F)cc2)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(C(OP(=O)(O)O)C(N)=O)C(=O)NC(CC(C)C(=O)O)C(=O)NC(=Cc2c[nH]c3ccccc23)C(=O)OC1C,CCCC1OC1C(=O)O
138,CDA2fb,Streptomyces roseosporus|Fusarium oxysporum,BGC0000315,CCCC1OC1C(=O)NC(CO)C(=O)NC1C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CC(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(c2ccc(F)cc2)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(C(OP(=O)(O)O)C(N)=O)C(=O)NC(C(C)CC(=O)O)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)OC1C,CCCC1OC1C(=O)O
139,CDA3a,Trichothecium roseum|Streptomyces roseosporus|Streptomyces coelicolor,BGC0000315,CCCC1OC1C(=O)NC(CO)C(=O)NC1C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CC(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(c2ccc(O)cc2)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(C(O)C(N)=O)C(=O)NC(CCC(=O)O)C(=O)NC(=Cc2c[nH]c3ccccc23)C(=O)OC1C,CCCC1OC1C(=O)O
140,CDA3b,Streptomyces roseosporus|Aschersonia|Streptomyces coelicolor,BGC0000315,CCCC1OC1C(=O)NC(CO)C(=O)NC1C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CC(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(c2ccc(O)cc2)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(C(O)C(N)=O)C(=O)NC(CCC(=O)O)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)OC1C,CCCC1OC1C(=O)O
141,CDA4a,Streptomyces roseosporus|Streptomyces coelicolor|OS-F68576,BGC0000315,CCCC1OC1C(=O)NC(CO)C(=O)NC1C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CC(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(c2ccc(O)cc2)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(C(O)C(N)=O)C(=O)NC(C(C)CC(=O)O)C(=O)NC(=Cc2c[nH]c3ccccc23)C(=O)OC1C,CCCC1OC1C(=O)O
142,CDA4b,Streptomyces coelicolor|Streptomyces roseosporus|Alternaria brassicae,BGC0000315,CCCC1OC1C(=O)NC(CO)C(=O)NC1C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CC(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(c2ccc(O)cc2)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(C(O)C(N)=O)C(=O)NC(C(C)CC(=O)O)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)OC1C,CCCC1OC1C(=O)O
143,Cepacidin A1,Pseudomonas cepacia,BGC0000808,CCCCCCCCCC(N)CC(O)CC(CC1CC(=O)NC(CO)C(=O)NC(C(O)c2ccc(O)cc2)C(=O)NC(CC(=O)O)C(=O)NC(CO)C(=O)NCC(=O)NCCC(N)C(=O)NC(C(O)C(N)=O)C(=O)N1)OC1OCC(O)C(O)C1O,CCCCCCCCCC(N)CC(O)CC(CC(CC(=O)O)NC(=O)C(NC(=O)C(N)CCNC(=O)CNC(=O)C(CO)NC(=O)C(CC(=O)O)NC(=O)C(NC(=O)C(N)CO)C(O)c1ccc(O)cc1)C(O)C(N)=O)OC1OCC(O)C(O)C1O
145,Cicadapeptin I,Cordyceps heteropoda (ARSEF 1880),,CCCCCCCCCC(=O)N1CC(O)CC1C(=O)N1CC(O)CC1C(=O)NC(C(=O)NC(C)(C)C(=O)NC(CCC(N)=O)C(=O)NC(C)(C)C(=O)NC(CC(C)C)C(=O)NC(CN)CC(C)C)C(C)C,CCCCCCCCCC(=O)N1CC(O)CC1C(=O)N1CC(O)CC1C(=O)NC(C(=O)NC(C)(C)C(=O)NC(CCC(N)=O)C(=O)NC(C)(C)C(=O)NC(CC(C)C)C(=O)NC(CN)CC(C)C)C(C)C
146,Cicadapeptin II,Cordyceps heteropoda (ARSEF 1880),,CCCCCCCCCC(=O)N1CC(O)CC1C(=O)N1CC(O)CC1C(=O)NC(C(=O)NC(C)(C)C(=O)NC(CCC(N)=O)C(=O)NC(C)(C)C(=O)NC(C(=O)NC(CN)CC(C)C)C(C)CC)C(C)C,CCCCCCCCCC(=O)N1CC(O)CC1C(=O)N1CC(O)CC1C(=O)NC(C(=O)NC(C)(C)C(=O)NC(CCC(N)=O)C(=O)NC(C)(C)C(=O)NC(C(=O)NC(CN)CC(C)C)C(C)CC)C(C)C
147,Circulocin alpha,Bacillus circulans J2154,,CCC(C)C1NC(=O)C(Cc2ccccc2)NC(=O)C(NC(=O)CC(O)CCCCCCCCCCCCCCCCNC(=N)N)C(C)OC(=O)C(CC(=O)O)NC(=O)C(CCN)NC1=O,N=C(N)NCCCCCCCCCCCCCCCCC(O)CC(=O)O
148,Circulocin beta,Bacillus circulans J2154,,CCC(C)C1NC(=O)C(Cc2ccccc2)NC(=O)C(NC(=O)CCCCCCCCCCCCCCCCCCNC(=N)N)C(C)OC(=O)C(CC(=O)O)NC(=O)C(CCN)NC1=O,N=C(N)NCCCCCCCCCCCCCCCCCCC(=O)O
149,Circulocin delta,Bacillus circulans J2154,,CCC(C)C1NC(=O)C(CC(C)C)NC(=O)C(NC(=O)CC(O)CCCCCCCCCCCCCCCCCCNC(=N)N)C(C)OC(=O)C(C)NC(=O)C(CC(=O)O)NC(=O)C(C(C)O)NC1=O,N=C(N)NCCCCCCCCCCCCCCCCCCC(O)CC(=O)O
150,Circulocin gamma,Bacillus circulans J2154,,CCC(C)C1NC(=O)C(CC(C)C)NC(=O)C(NC(=O)CC(O)CCCCCCCCCCCCCCCCNC(=N)N)C(C)OC(=O)C(C)NC(=O)C(CC(=O)O)NC(=O)C(C(C)O)NC1=O,N=C(N)NCCCCCCCCCCCCCCCCC(O)CC(=O)O
151,CLP1,Bacillus sp. Strain 176,,CCCCCCCCCCCCCC1COC(=O)C(C(C)CC)NC(=O)C(CC(C)C)NC(=O)C(CC(=O)OC)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCC(=O)OC)NC1=O,CCCCCCCCCCCCCC(COC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(CC(=O)OC)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(N)CCC(=O)OC)C(C)CC)C(=O)O
152,CLP2,Bacillus sp. Strain 176,,CCCCCCCCCCCCCCC1COC(=O)C(C(C)CC)NC(=O)C(CC(C)C)NC(=O)C(CC(=O)OC)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCC(=O)OC)NC1=O,CCCCCCCCCCCCCCC(COC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(CC(=O)OC)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(N)CCC(=O)OC)C(C)CC)C(=O)O
153,Cormycin A,Pseudomonas corrugata,,CC=C1NC(=O)C(C(C)O)NC(=O)C(Cc2cnc[nH]2)NC(=O)C(CCO)NC(=O)C(CC(N)=O)NC(=O)C(CCCN)NC(=O)C(NC(=O)CC(O)C(O)CCCCCCCCCCCC)COC(=O)C(C(O)CCl)NC(=O)C(C(O)C(=O)O)NC1=O,CCCCCCCCCCCCC(O)C(O)CC(=O)O
154,Corpeptin A,Pseudomonas corrugata,BGC0000329,C=C(NC(=O)C(NC(=O)C(NC(=O)C(CCO)NC(=O)C(=CC)NC(=O)C(NC(=O)C(NC(=O)C(C)NC(=O)C(C)NC(=O)C(C)NC(=O)C1CCCN1C(=O)C(=CC)NC(=O)CC(O)CCCCCCC)C(C)C)C(C)C)C(C)C)C(C)CC)C(=O)NC(C)C(=O)NC(C)C(=O)NC(C)C(=O)NC(C(=O)NC(=CC)C(=O)NC1C(=O)NC(C)C(=O)NC(CCN)C(=O)NC(CO)C(=O)NC(C(C)CC)C(=O)OC1C)C(C)C,CCCCCCCC(O)CC(=O)O
156,Corrugatin,Pseudomonas corrugata,,CCCCCCCC(=O)NC(C1=NCCC(C(=O)NC(CCN)C(=O)NC(CO)C(=O)NC(CO)C(=O)NC(C2=NCCC(C(=O)NC(C(=O)O)C(O)C(=O)O)N2)C(O)C(=O)O)N1)C(O)c1c[nH]cn1,CCCCCCCC(=O)NC(C1=NCCC(C(=O)NC(CCN)C(=O)NC(CO)C(=O)NC(CO)C(=O)NC(C2=NCCC(C(=O)O)N2)C(O)C(=O)O)N1)C(O)c1c[nH]cn1
157,Cryptocandin,Cryptosporiopsis cf. quercina,,CCCCCCCCCCCCCCCC(=O)NC1CC(O)C(O)NC(=O)C2C(O)C(CO)CN2C(=O)C(CCC(N)=O)NC(=O)C(C(O)C(O)c2ccc(O)cc2)NC(=O)C2CC(O)CN2C(=O)C(C(C)O)NC1=O,CCCCCCCCCCCCCCCC(=O)O
159,Cyrmenin A,Cystobacter armeniaca Cb a24,,C=C(NC(=O)C(C)=CC=CCCCCCC(C)C)C(=O)NC(=COC)C(=O)OC,C=C(NC(=O)C(C)=CC=CCCCCCC(C)C)C(=O)NC(=COC)C(=O)OC
